Year,EventRootCode,Count
2016,01           ,14881548
2017,19           ,6580253
2016,11           ,7351486
2020,15           ,73312
2015,15           ,324229
2018,03           ,6988722
2018,09           ,2121561
2019,12           ,2350238
2019,09           ,1822157
2019,16           ,835040
2017,15           ,389617
2015,10           ,1124431
2015,07           ,3149440
2018,20           ,42839
2017,16           ,1076924
2016,10           ,1466010
2018,15           ,307001
2017,14           ,1065785
2016,03           ,8272056
2015,11           ,5359790
2020,12           ,646303
2017,18           ,1731331
2019,08           ,3232079
2017,13           ,1705970
2019,03           ,5894476
2020,--           ,4
2019,17           ,3861924
2018,16           ,958290
2017,20           ,52555
2015,08           ,3269062
2020,03           ,1698645
2016,17           ,5145698
2020,05           ,1932467
2020,07           ,935857
2016,X            ,1
2019,01           ,10823530
2015,02           ,6469405
2017,--           ,41
2018,19           ,5652679
2017,10           ,1419881
2016,09           ,2497975
2018,17           ,4345723
2018,04           ,23646684
2020,11           ,1357317
2015,20           ,46023
2018,01           ,12287957
2018,10           ,1245758
2017,06           ,2160474
2020,09           ,522611
2019,04           ,20591221
2016,15           ,403147
2015,12           ,2477149
2019,13           ,1247407
2015,05           ,7477751
2020,14           ,232756
2019,20           ,32164
2015,17           ,3894305
2019,07           ,2681948
2016,14           ,1163504
2016,05           ,9872988
2020,10           ,349030
2016,13           ,1754921
2018,18           ,1546199
2015,04           ,22113097
2018,05           ,8171189
2016,16           ,1068205
2018,12           ,2671166
2015,01           ,11502656
2016,--           ,97
2019,06           ,1756042
2017,08           ,3960344
2017,03           ,7588386
2020,19           ,1342299
2019,14           ,912260
2017,02           ,7789886
2016,02           ,8443681
2018,--           ,18
2015,09           ,1912404
2017,01           ,13670910
2019,10           ,1094882
2020,20           ,6282
2019,15           ,264376
2017,07           ,3499156
2020,17           ,1094922
2020,08           ,962967
2016,19           ,7956716
2016,20           ,53567
2016,12           ,3231523
2015,03           ,6528590
2018,08           ,3635402
2017,11           ,6791244
2017,12           ,3006500
2016,07           ,3855345
2018,02           ,7010395
2015,06           ,1883270
2015,14           ,826344
2018,06           ,1996761
2017,04           ,26299668
2018,13           ,1476362
2020,16           ,333707
2019,02           ,6229232
2015,18           ,1440717
2017,05           ,9024829
2020,13           ,383624
2016,08           ,4398530
2018,07           ,3087369
2020,01           ,3334813
2019,11           ,5351680
2015,13           ,1299864
2020,06           ,527530
2019,05           ,7048908
2017,17           ,4910837
2016,18           ,2043860
2017,09           ,2319194
2015,16           ,756060
2018,11           ,6122105
2020,02           ,2029127
2016,04           ,28273763
2018,14           ,960626
2019,--           ,14
2020,04           ,6068868
2016,06           ,2356076
2020,18           ,304483
2015,19           ,6242666
2019,18           ,1291250
2015,--           ,7
2019,19           ,4752789
