Year,QuadClass,Count
2018,1        ,58104959
2018,4        ,12852732
2017,2        ,11939173
2015,1        ,54091504
2020,2        ,2949192
2017,1        ,64373702
2015,4        ,12704000
2017,3        ,13989383
2015,2        ,10214178
2017,4        ,14741527
2016,4        ,16671211
2019,1        ,50587373
2016,3        ,14967455
2020,4        ,3155249
2015,3        ,11087578
2019,4        ,11037546
2020,1        ,15064878
2018,3        ,12476021
2018,2        ,10841094
2020,3        ,2969204
2019,3        ,10956478
2016,1        ,69744093
2019,2        ,9492230
2016,2        ,13107938
